ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9755275446789088,0.9720834996210077,0.06097560975609756,0.9183673469387755,0.11435832274459974,0.2332014073328229
Decision Tree,0.9989291106351603,0.8619459390396564,0.6761904761904762,0.7244897959183674,0.6995073891625616,0.6993890442266426
kNN,0.9995435553526912,0.9437426067782205,0.9186046511627907,0.8061224489795918,0.8586956521739131,0.860305467810002
Naive Bayes,0.9922755521224677,0.967730650574805,0.13771186440677965,0.6632653061224489,0.22807017543859648,0.29995092569555615
Random Forest (Ensemble),0.9995259997893332,0.9514550650029285,0.9493670886075949,0.7653061224489796,0.847457627118644,0.8521621027182575
XGBoost (Ensemble),0.9995084442259752,0.9793957010209824,0.8723404255319149,0.8367346938775511,0.8541666666666666,0.8541065802142919
